import time: self [us] | cumulative | imported package
import time:       646 |        646 |   cv2.misc.version
import time:    104255 |     386125 | cv2
import time:       627 |        627 |           google
import time:       993 |       1620 |         google.protobuf
import time:       653 |        653 |         google.protobuf.internal
import time:       135 |        135 |           google.protobuf.internal._api_implementation
import time:      1164 |       1164 |           google.protobuf.message
import time:       872 |        872 |           google.protobuf.internal.enum_type_wrapper
import time:       150 |        150 |           google.protobuf.enable_deterministic_proto_serialization
import time:      4885 |       7204 |         google.protobuf.internal.api_implementation
import time:      1626 |      11102 |       google.protobuf.descriptor
import time:      1238 |       1238 |         google.protobuf.descriptor_database
import time:      1127 |       1127 |         google.protobuf.text_encoding
import time:       912 |        912 |             encodings.raw_unicode_escape
import time:       999 |        999 |             encodings.unicode_escape
import time:      1611 |       1611 |               google.protobuf.internal.containers
import time:      1576 |       1576 |                 google.protobuf.internal.wire_format
import time:      1180 |       2755 |               google.protobuf.internal.encoder
import time:      1293 |       5658 |             google.protobuf.internal.decoder
import time:      1234 |       1234 |             google.protobuf.internal.type_checkers
import time:       927 |        927 |             google.protobuf.unknown_fields
import time:      2259 |      11988 |           google.protobuf.text_format
import time:      1439 |       1439 |           google.protobuf.internal.extension_dict
import time:      1014 |       1014 |           google.protobuf.internal.message_listener
import time:        82 |         82 |                 _locale
import time:      1768 |       1850 |               locale
import time:      1560 |       3409 |             calendar
import time:      1038 |       1038 |             google.protobuf.internal.field_mask
import time:      1151 |       5597 |           google.protobuf.internal.well_known_types
import time:      1464 |      21500 |         google.protobuf.internal.python_message
import time:      1605 |      25467 |       google.protobuf.descriptor_pool
import time:       809 |        809 |         google.protobuf.pyext
import time:       988 |        988 |         google.protobuf.pyext.cpp_message
import time:      1065 |       2861 |       google.protobuf.message_factory
import time:     72759 |     112188 |     mediapipe.python._framework_bindings
import time:      1123 |       1123 |     mediapipe.python.packet_creator
import time:       901 |        901 |       google.protobuf.symbol_database
import time:       922 |       1823 |     mediapipe.python.packet_getter
import time:       970 |     116103 |   mediapipe.python
import time:      1623 |       1623 |       mediapipe.python.solutions.face_mesh_connections
import time:       932 |        932 |       mediapipe.python.solutions.hands_connections
import time:      1506 |       1506 |         dataclasses
import time:        65 |         65 |             atexit
import time:      1464 |       1464 |               traceback
import time:        56 |         56 |                 _string
import time:      1513 |       1568 |               string
import time:      2716 |       5747 |             logging
import time:      1544 |       1544 |             pprint
import time:       375 |        375 |               zlib
import time:      1682 |       1682 |                 _compression
import time:      1805 |       1805 |                 _bz2
import time:      1816 |       5303 |               bz2
import time:      2549 |       2549 |                 _lzma
import time:      1635 |       4183 |               lzma
import time:      1762 |      11622 |             shutil
import time:      1929 |       1929 |               signal
import time:       524 |        524 |               fcntl
import time:        84 |         84 |               msvcrt
import time:      2689 |       5225 |             subprocess
import time:      1647 |       1647 |             tempfile
import time:      1436 |       1436 |               packaging
import time:      1347 |       1347 |               packaging._structures
import time:      5555 |       8337 |             packaging.version
import time:      1671 |       1671 |               matplotlib._api.deprecation
import time:      2704 |       4375 |             matplotlib._api
import time:      1006 |       1006 |             matplotlib._version
import time:      2059 |       2059 |               gzip
import time:      1550 |       1550 |               shlex
import time:      2895 |       2895 |               matplotlib._c_internal_utils
import time:      2758 |       9261 |             matplotlib.cbook
import time:      2400 |       2400 |             matplotlib._docstring
